name,address,addressObj/country,addressObj/postalcode,addressObj/state,cuisine,description,DietaryRestrictions,Dishes,Features,latitude,longitude,localAddress,Meal Type,numberOfReviews,phone,rankingDenominator,rankingPosition,rating,rawRanking
Box8,"540/1 Graphite India Road NCPR Industrial Layout, Doddanakundi Industrial Area 2, Phase 1, Hoodi, Bengaluru 560048 India",India,560048,Karnataka,Indian Asian       ,,Vegetarian Friendly   ,                       ,Delivery Takeout                           ,12.98458,77.70976,"540/1 Graphite India Road, NCPR Industrial Layout, Doddanakundi Industrial Area 2, Phase 1, Hoodi, 560048",Dinner     ,17,+91 80 3355 2698,5993,2551,3.5,3.033408403
Zodiac,"134-136, Rd Number 1 Fortune Select Trinity, EPIP Zone, Bengaluru 560066 India",India,560066,Karnataka,        ,,   ,                       ,Reservations                            ,12.98425,77.74919,"134-136, Rd Number 1, Fortune Select Trinity, EPIP Zone, 560066",     ,9,+91 80 4020 0200,5993,2005,3.5,3.047269583
Kamat Minerva,"152 Jayachamaraja Wodeyar Road, Bengaluru 560002 India",India,560002,Karnataka,Indian        ,,Vegetarian Friendly Vegan Options  ,Thali Roti                      ,Takeout Seating                           ,12.96177,77.58426,"152 Jayachamaraja Wodeyar Road, 560002",Breakfast Lunch Dinner   ,23,+91 80 2670 3813,5993,1137,3.5,3.095982313
Kairali Restaurant,"PR Building, Nagavara Palya Main Road, CV Raman Nagar, Bengaluru 560093 India",India,560093,Karnataka,Chinese        ,,   ,                       ,                            ,12.99121,77.65708,"PR Building, Nagavara Palya Main Road, CV Raman Nagar, 560093",     ,3,+91 80 6564 2233,5993,5041,3.5,3.007822514
Chicken County,"14/1 5'th Main Road Opposite To Hotel Moti Mahal, Bengaluru 560009 India",India,560009,Karnataka,Indian        ,,Halal   ,                       ,Delivery Takeout Seating                          ,12.970793,77.59032,"14/1 5'th Main Road, Opposite To Hotel Moti Mahal, 560009",Lunch Dinner    ,27,+91 80 2220 7384,5993,1535,3.5,3.065366268
Kedia's Fun Food,"46, 6th C Main Road, Jaya Nagar 1st Block, 4th Block, Jayanagar, Bengaluru, Karnataka, Bengaluru 560011 India",India,560011,Karnataka,        ,,   ,                       ,                            ,12.93048,77.5816,"46, 6th C Main Road, Jaya Nagar 1st Block, 4th Block, Jayanagar, Bengaluru, Karnataka, 560011",     ,3,+91 98452 90246,5993,2422,4,3.03669548
Pizza Hut,"No 185, Dheena Complex, Brigade Road, Bengaluru 560001 India",India,560001,Karnataka,Italian Pizza       ,,   ,                       ,Seating                            ,12.97384,77.60755,"No 185, Dheena Complex, Brigade Road, 560001",Dinner     ,14,+91 80 2532 0799,5993,1607,3.5,3.062445402
WelcomeCafe Jacarnda,"Richmond Road Near Garuda Mall, Bengaluru India",India,,Karnataka,Cafe        ,,   ,                       ,                            ,12.96561,77.60242,"Richmond Road, Near Garuda Mall",     ,8,,5993,804,5,3.141458511
Beijing Bites,"Royal Meenkashi Mall, Food Court, 3rd Floor, 63, Opp Meenakashi temple, Bannerghatta Main Road, Huli Mavu ward, BBMP Aracare Subdivision, Bengaluru 560076 India",India,560076,Karnataka,Chinese Asian Szechuan      ,,   ,                       ,Table Service                            ,12.88998,77.59776,"Royal Meenkashi Mall, Food Court, 3rd Floor, 63, Opp Meenakashi temple, Bannerghatta Main Road, Huli Mavu ward, BBMP Aracare Subdivision, 560076",Lunch Dinner    ,12,+91 98869 79600,5993,1271,4,3.082872391
Pai Vihar,"Millers Road, Bengaluru 560052 India",India,560052,Karnataka,        ,,   ,                       ,                            ,12.9833,77.5833,"Millers Road, 560052",Breakfast Lunch Dinner   ,5,+91 80 4123 5143,5993,2241,4,3.040994883
Sri Venkateshwara Sweet Meat Stall,"301a Jayanagar 4th Block 9'th Main Road 34th a Cross, Bengaluru 560094 India",India,560094,Karnataka,Cafe        ,,   ,                       ,                            ,12.92281,77.58679,"301a Jayanagar 4th Block 9'th Main Road 34th a Cross, 560094",     ,9,+91 80 2244 5501,5993,1267,4,3.083135128
Secret Story Bar & Kitchen,"968, 3rd & 4th Floor, 12 Th Main, Hal 2nd Stage, Indiranagar, Bengaluru 560008 India",India,560008,Karnataka,Indian        ,,   ,                       ,                            ,12.97194,77.59369,"968, 3rd & 4th Floor,, 12 Th Main, Hal 2nd Stage, Indiranagar, 560008",     ,1,,5993,3007,4,3.02512455
Uthra,"Asha sweets centre second floor Stage 1 Indiranagar, Bengaluru 560038 India",India,560038,Karnataka,Chinese Indian       ,,   ,                       ,                            ,,,"Asha sweets centre second floor, Stage 1 Indiranagar, 560038",Lunch Dinner    ,3,+91 91138 57553,5993,1265,5,3.083314896
BadeMiyan Kebabs,"26/1, Brigade Gateway Enclave, Dr. Rajkumar Road Orion Mall, Bengaluru 560010 India",India,560010,Karnataka,Indian Middle Eastern       ,"Bademiyan has been a regular feature at the annual exhibition which was held by H.E. the late Nizam of Hyderabad. In the recent years, BadeMiyan Kebabs evolved into a brand for the urban prominence.",   ,                       ,Delivery Takeout Seating Parking Available                         ,13.011006,77.554634,"26/1, Brigade Gateway Enclave, Dr. Rajkumar Road, Orion Mall, 560010",Lunch Dinner    ,1,+91 80672 82222,5993,4382,4,3.011040688
Rich Grills Restaurant Mahalakshmi Layout,"13 Shankara Nagar Main Road, Bengaluru 560096 India",India,560096,Karnataka,Indian Barbecue Grill Street Food Arabic    ,"Rich Grills delivers global cuisine in style, drawing inspiration from many cultures' culinary traditions to create our unique flavourful menu.",   ,                       ,Delivery Takeout Reservations Outdoor Seating Buffet Private Dining Seating Street Parking Free off-street parking Accepts Mastercard Accepts Visa Digital Payments Free Wifi Accepts Credit Cards Table Service Drive Thru Family style Non-smoking restaurants Gift Cards Available          ,13.013957,77.54429,"13 Shankara Nagar Main Road, 560096",Lunch Dinner Brunch Late Night  ,0,+91 80501 01819,,,,
Pebbles,"Mahalakshmipuram, Bengaluru India",India,,Karnataka,        ,,   ,                       ,                            ,12.977654,77.59158,Mahalakshmipuram,Dinner     ,11,,5993,2664,3.5,3.031281948
Popeyes,"80 Feet Rd, 7th Block, Koramangala Site 9, Pid No 67, 7-9, Bengaluru 560095 India",India,560095,Karnataka,American Indian Asian Grill Soups    ,,   ,                       ,                            ,12.937695,77.62664,"80 Feet Rd, 7th Block, Koramangala, Site 9, Pid No 67, 7-9, 560095",     ,3,+91 1800 309 1234,5993,5988,1.5,2.427607059
Hotel Mangala Restaurant,"165/2, 9th Main, 50 Feet Road Hanumantha Nagar, Opposite Thukaram Garments, Basavanagudi, Bengaluru 560019 India",India,560019,Karnataka,Indian        ,,   ,                       ,Seating Table Service                           ,12.94161,77.55909,"165/2, 9th Main, 50 Feet Road, Hanumantha Nagar, Opposite Thukaram Garments, Basavanagudi, 560019",Breakfast Lunch Dinner Brunch  ,13,+91 99000 00958,5993,2313,4,3.038863659
Mishmash,"2321, 17th Cross Road Sector 1, HSR Layout, Bengaluru 560102 India",India,560102,Karnataka,Italian Mexican Indian      ,,Vegetarian Friendly   ,                       ,Reservations Outdoor Seating Seating Street Parking Serves Alcohol                        ,12.912128,77.651146,"2321, 17th Cross Road, Sector 1, HSR Layout, 560102",Lunch Dinner Drinks   ,17,+91 80 2258 0091,5993,1500,3.5,3.067421675
Malabar Quality Restaurant,"40 Jeevan Bhima Nagar Next To Coffee Day, Bengaluru 560075 India",India,560075,Karnataka,        ,,   ,                       ,                            ,12.96771,77.65447,"40 Jeevan Bhima Nagar, Next To Coffee Day, 560075",     ,10,25290660,5993,2036,3.5,3.046107531
Yuan Restaurant,"Ground Floor 2 & 3 2nd Block 80 Feet Road, Near Sri Maruthi Hospital, Bengaluru 560043 India",India,560043,Karnataka,Chinese Asian       ,,   ,                       ,                            ,12.97942,77.51062,"Ground Floor 2 & 3 2nd Block 80 Feet Road, Near Sri Maruthi Hospital, 560043",Lunch Dinner    ,7,+91 80 4097 4045,5993,1886,4,3.051343679
Rangastaalamm Andhra Cuisine Restaurant,"80 Feet Main Road Next to Total Gas, Ideal Homes, Bengaluru 560098 India",India,560098,Karnataka,Indian        ,,   ,                       ,Delivery Takeout Reservations Private Dining Seating Parking Available Cash Only Accepts Credit Cards Table Service Live Music Family style                  ,12.3374,76.089874,"80 Feet Main Road, Next to Total Gas, Ideal Homes, 560098",Lunch Dinner Brunch   ,1,+91 96116 63663,5993,2080,5,3.044926405
Hunan Square,"no. 155, Legacy building, Neeladri Nagar Electronics City Phase 1, Electronic City, Bengaluru 560100 India",India,560100,Karnataka,Chinese Japanese Asian Thai Korean Vietnamese   ,Pan Asian Restaurant,   ,                       ,Delivery Takeout Reservations Seating Parking Available Digital Payments Free Wifi Accepts Credit Cards Non-smoking restaurants                    ,12.84134,77.647514,"no. 155, Legacy building, Neeladri Nagar, Electronics City Phase 1, Electronic City, 560100",Lunch Dinner    ,0,+91 77607 71777,,,,
Barbeque Nation,"No 53/1 Sarjapur Main Road 3rd Floor, Ashrith Aries/Ashrith Groups, Bengaluru 560035 India",India,560035,Karnataka,Indian Asian       ,"Barbeque Nation is a pioneer in India to promote ‘DIY’ (do-it-yourself) cuisine with a concept of live on-the-table grill, since its first store in Mumbai in 2006. Barbeque Nation was founded with a simple vision – offering a complete dining experience to customers at affordable prices",   ,                       ,                            ,12.905,77.70112,"No 53/1 Sarjapur Main Road, 3rd Floor, Ashrith Aries/Ashrith Groups, 560035",Lunch Dinner    ,2,+91 80 6902 8722,5993,2167,4.5,3.042838812
Punjabi Rasoi,"14th Cross, 1st Blk, R T Nagar, Bengaluru 560032 India",India,560032,Karnataka,Indian Asian       ,,Vegetarian Friendly   ,                       ,Delivery Takeout Reservations Seating Table Service                        ,13.03492,77.60255,"14th Cross, 1st Blk, R T Nagar, 560032",Lunch Dinner    ,34,,5993,2259,3.5,3.04054904
Chung's,"Jayanagar, Bengaluru 560078 India",India,560078,Karnataka,Chinese Asian Szechuan      ,,   ,                       ,Delivery Takeout Seating Table Service                         ,12.9421,77.59677,"Jayanagar, 560078",Lunch Dinner    ,21,26551899,5993,1800,3.5,3.054125071
Subway,"Mantri Square Mall, 1, 3rd Floor, Food Court, Sampige Road, Malleshwaram, Bengaluru India",India,,Karnataka,Fast Food        ,,   ,                       ,                            ,12.9938,77.5715,"Mantri Square Mall, 1, 3rd Floor, Food Court, Sampige Road, Malleshwaram",     ,3,+91 80 3190 4442,5993,2228,4.5,3.0412848
Singh Saab,"100 100 Feet Road, Off 80 Behind Reebok Showroom, Bengaluru 560038 India",India,560038,Karnataka,Indian Asian       ,,Vegetarian Friendly   ,Roti                       ,Delivery Takeout Seating                          ,12.97427,77.64114,"100 100 Feet Road, Off 80, Behind Reebok Showroom, 560038",Lunch Dinner    ,17,+91 88805 22233,5993,1180,4,3.091752529
Indiana Fast Foods Restaurant,"9/14 Residency Road Ground Floor, Saint Patricks Complex, Bengaluru 560025 India",India,560025,Karnataka,Indian        ,,   ,                       ,                            ,12.96838,77.60101,"9/14 Residency Road, Ground Floor, Saint Patricks Complex, 560025",Lunch Dinner    ,6,25585966,5993,2103,4,3.044323444
Komala Refreshments,"22/1 Wheeler Road Near Food World, Opposite Gymkhana, Bengaluru 560005 India",India,560005,Karnataka,        ,,   ,                       ,                            ,12.99724,77.61995,"22/1 Wheeler Road, Near Food World, Opposite Gymkhana, 560005",Breakfast Lunch Dinner   ,8,+91 80 2548 3891,5993,1637,4,3.060552359
Ragi Nadu Restaurant,"Anekal Main Road No:1, Near Surya City Phase I Arch, Bengaluru 560099 India",India,560099,Karnataka,Indian        ,,   ,                       ,                            ,12.79638,77.70657,"Anekal Main Road, No:1, Near Surya City Phase I Arch, 560099",     ,8,+91 96866 96544,5993,1366,4,3.075801849
Sea Rock,"2nd Floor 6 Shivananda Circle No Near Shivananda Circle, Bengaluru 560001 India",India,560001,Karnataka,Seafood        ,"A multi-cuisine restaurant, Sea Rock is best known for its Traditional Mangalorean fare For over 30 years, Sea Rock Restaurant has been serving up hearty and delicious food and has built up a loyal fan base who rarely need to look at the menu before they order. A multi-cuisine eatery, Sea Rock is best known for its authentic Mangalorean fare, and for many diners, it is the place to indulge in Mangalorean seafood specialties. Silken coconutty masala preps, ghee roast - the quintessential Mangalore dish alongside Kori Rotti, Sukka, Gassi, and Pullimunchi are all on offer. This family restaurant offers a cozy, old-world feel and a meal you’ll remember long after your visit!",   ,                       ,Reservations                            ,,,"2nd Floor 6 Shivananda Circle No, Near Shivananda Circle, 560001",     ,7,+91 88841 28881,5993,1727,4,3.05666399
Sri Venkateshwara Nellore Andhra Mess,"47/14, Doddathogur, Neeladri Road, 1st Phase, Near Velankanni Tech Park, Electronics City, Bengaluru 560100 India",India,560100,Karnataka,        ,,   ,                       ,                            ,12.8586,77.64619,"47/14, Doddathogur, Neeladri Road, 1st Phase, Near Velankanni Tech Park, Electronics City, 560100",     ,3,+91 95905 88899,5993,1562,4.5,3.06423378
Iceberg,"Food Court Esteem Mall 3rd Floor Bellary Road, Bengaluru 560024 India",India,560024,Karnataka,        ,,   ,                       ,                            ,13.05095,77.59318,"Food Court Esteem Mall 3rd Floor Bellary Road, 560024",     ,1,+91 85535 04885,5993,4357,4,3.011164188
Kim Lee,"6 59'th Cross Road Rajajinagar,, Bengaluru 560010 India",India,560010,Karnataka,Chinese        ,,   ,                       ,                            ,12.98199,77.55964,"6 59'th Cross Road, Rajajinagar,, 560010",Dinner     ,4,+91 80 2330 2766,5993,2518,4.5,3.033975124
Flame And Grill,"3rd Floor 14 Church Street, Bengaluru 560001 India",India,560001,Karnataka,        ,,   ,                       ,                            ,12.98788,77.61106,"3rd Floor 14 Church Street, 560001",Lunch Dinner    ,3,,5993,2058,4.5,3.045465708
Bingo,"Twenty Four Tech Hotel, Ground Floor, Prestige Tech Park, Outer Ring Road, Near Yodlee Infotech Private Limited, Marathahalli Behind JP Morgan Building, Kadabisnahalli Stop, Marathalli, Bengaluru 560029 India",India,560029,Karnataka,Chinese Indian       ,,   ,                       ,                            ,12.91669,77.60557,"Twenty Four Tech Hotel, Ground Floor, Prestige Tech Park, Outer Ring Road, Near Yodlee Infotech Private Limited, Marathahalli, Behind JP Morgan Building, Kadabisnahalli Stop, Marathalli, 560029",Breakfast Lunch Dinner   ,5,+91 80 2563 9472,5993,5218,3,3.004099607
Karnataka Bhel House,"Chandralayout, Vijay Nagar, Bengaluru India",India,,Karnataka,        ,,   ,                       ,                            ,12.95821,77.53989,"Chandralayout, Vijay Nagar",     ,7,+91 98451 00870,5993,2322,3.5,3.038730621
Chef Baker's,"Whitefield Main Rd Arya Hub, Ground Floor, Bengaluru 560066 India",India,560066,Karnataka,Indian        ,,   ,                       ,                            ,12.97897,77.75335,"Whitefield Main Rd, Arya Hub, Ground Floor, 560066",     ,4,+91 74060 66613,5993,1658,4.5,3.059372425
Empire Restaurant,"4, 21st C Cross Road, 3rd Block, Opposite Nmkrv College, Jayanagar, Bengaluru 560062 India",India,560062,Karnataka,        ,,   ,                       ,                            ,12.88325,77.5537,"4, 21st C Cross Road, 3rd Block, Opposite Nmkrv College, Jayanagar, 560062",     ,5,+91 80 4120 2867,5993,5700,3,2.96630764
Elmas Hotel Restaurant,"412/A 7th Block, Koramangala Elmas Hotel, Bengaluru 560095 India",India,560095,Karnataka,Seafood        ,,   ,                       ,                            ,12.935544,77.61287,"412/A 7th Block, Koramangala, Elmas Hotel, 560095",     ,5,+91 80 4146 1414,5993,2380,4,3.037359238
Kalmane Koffees,"Phoenix Market City Mall 28b Devasandra Industrial Estate Ground Floor Whitefield Road, Bengaluru 560066 India",India,560066,Karnataka,Cafe        ,,   ,                       ,                            ,12.97773,77.74271,"Phoenix Market City Mall 28b Devasandra Industrial Estate Ground Floor Whitefield Road, 560066",     ,5,+91 98808 59495,5993,1888,4,3.051254034
Canopy Restaurant,"Public Utility Building 11th Floor M G Road, Bengaluru 560001 India",India,560001,Karnataka,        ,,   ,                       ,Reservations Seating Table Service                          ,12.97571,77.60506,"Public Utility Building 11th Floor M G Road, 560001",Lunch Dinner    ,13,+91 80 2558 8542,5993,5160,3,3.006850719
Leon Grill,"Outer Ring Road 90/3, Opposite to Innovative Multiplex, Next to World Of Titan, Marathahalli, Bengaluru 560037 India",India,560037,Karnataka,Turkish        ,,   ,                       ,                            ,12.91679,77.59631,"Outer Ring Road, 90/3, Opposite to Innovative Multiplex, Next to World Of Titan, Marathahalli, 560037",     ,3,+91 80 4865 4147,5993,1675,5,3.058707714
Hoppipola,"4023 Terrace, Bengaluru 560038 India",India,560038,Karnataka,Bar International Mediterranean Pub     ,,Vegetarian Friendly   ,Pasta Pesto                      ,Reservations Seating Serves Alcohol Table Service                         ,12.975165,77.60345,"4023 Terrace, 560038",     ,39,+91 80 2521 7070,5993,770,4,3.150753975
Slo’ Food Co.2,"No 2 Gangadhara Chetty Road Radisson Bengaluru City Center, Bengaluru 560042 India",India,560042,Karnataka,        ,,   ,                       ,                            ,12.976345,77.61949,"No 2 Gangadhara Chetty Road, Radisson Bengaluru City Center, 560042",     ,2,+91 1800 108 0333,5993,1621,5,3.061727285
Blue Coriander,"1st Floor Hosur Road 26 - A Lords Plaza Hotel, Bengaluru 560100 India",India,560100,Karnataka,Chinese Indian Asian      ,,   ,                       ,Reservations Seating Table Service                          ,12.84469,77.68523,"1st Floor Hosur Road 26 - A Lords Plaza Hotel, 560100",Lunch Dinner    ,26,+91 80 4040 8888,5993,3464,3,3.019913197
Mannheim Brews,"Velankani Tech Park, Bengaluru 560100 India",India,560100,Karnataka,        ,,   ,                       ,                            ,12.849973,77.65833,"Velankani Tech Park, 560100",     ,1,+91 94490 36747,5993,2087,5,3.044760466
The Red Lantern,"3 2nd Main Road East of NGEF Layout, Kasturi Nagar, Bengaluru 560094 India",India,560094,Karnataka,Chinese        ,,   ,                       ,                            ,13.036562,77.57667,"3 2nd Main Road, East of NGEF Layout, Kasturi Nagar, 560094",Lunch Dinner    ,5,+91 80 4848 4868,5993,1901,4,3.050571442
Cauvery Hyderabadi Biriyani,"89/3, Outer Ring Service Road, Sarjapura Road, Near Cessna Business Park, Kadubisanahalli, Bengaluru 560060 India",India,560060,Karnataka,        ,,   ,                       ,                            ,12.91838,77.48294,"89/3, Outer Ring Service Road, Sarjapura Road, Near Cessna Business Park, Kadubisanahalli, 560060",     ,5,+91 80 2563 9696,5993,2288,4,3.039548635
Bhartiya Jalpan,"14 Commercial Street Tasker Town, Shivaji Nagar, Bengaluru 560001 India",India,560001,Karnataka,Indian        ,,   ,                       ,                            ,12.98236,77.60787,"14 Commercial Street, Tasker Town, Shivaji Nagar, 560001",     ,2,+91 80 4164 9637,5993,3041,4,3.02477169
Geist To Go,"Ug-09c Upper Ground Floororion Mall Brigade Gayewa 25/1 Rajkumar Road Rajaji Nagar, Bengaluru 560055 India",India,560055,Karnataka,American Bar Asian Pub Dining bars Beer restaurants   ,,   ,                       ,                            ,12.962484,77.588455,"Ug-09c Upper Ground Floororion Mall Brigade Gayewa, 25/1 Rajkumar Road Rajaji Nagar, 560055",     ,2,+91 88677 07113,76,50,4.5,3.054932356
Uday Huts Family Restaurant,"New Airport Road, Bengaluru India",India,,Karnataka,Indian        ,,   ,                       ,Delivery Outdoor Seating Private Dining Seating Television Table Service Family style                      ,13.09503,77.5943,New Airport Road,     ,4,+91 98802 75789,5993,5956,2.5,2.735736609
"Jook Taproom, Yelahanka","Jnrt Mansion,1st Floor, Yelahanka, Bengaluru 560064 India",India,560064,Karnataka,Indian Brew Pub Contemporary Pub Gastropub    ,,   ,                       ,                            ,13.093034,77.59397,"Jnrt Mansion,1st Floor, Yelahanka, 560064",Lunch Dinner    ,0,+91 93558 54169,,,,
Shenoy Foods,"110, Margosa Road, Opposite Malleshwaram Ground, Malleshwaram, Bengaluru India",India,,Karnataka,        ,,   ,                       ,                            ,13.00465,77.56928,"110, Margosa Road, Opposite Malleshwaram Ground, Malleshwaram",     ,2,+91 80 2331 1789,5993,3598,4,3.018379688
Taco Bell,"49 Mill Road, Bengaluru 560047 India",India,560047,Karnataka,Mexican Fast Food       ,,   ,Tacos                       ,                            ,12.92485,77.55104,"49 Mill Road, 560047",     ,7,+91 80 2563 4455,5993,2405,3.5,3.037009716
Sichi Sagar,"24 Sichi Sagar C B I Road, Bengaluru 560032 India",India,560032,Karnataka,Chinese Indian       ,,   ,                       ,                            ,12.99182,77.59444,"24 Sichi Sagar C B I Road, 560032",     ,6,+91 98807 88295,5993,1925,4,3.049582005
Chandni Chowk 2 Bangalore,"Jeevan Bimanagar Main Road C2B, No. 6, 1st Floor, HAL 3rd Stage, Bengaluru 560008 India",India,560008,Karnataka,Indian Pizza Barbecue Grill Street Food    ,Nothing is better than having food in Delhi? - Chandni Chowk 2 Bangalore serves authentic Soya Chaaps along with Delhi's famous gravies that will surely take you back in time when you last tasted the best north indian food.,   ,                       ,Delivery Takeout Reservations Outdoor Seating Digital Payments Accepts Credit Cards Non-smoking restaurants                      ,12.982554,77.61072,"Jeevan Bimanagar Main Road, C2B, No. 6, 1st Floor, HAL 3rd Stage, 560008",Lunch Dinner Brunch Late Night  ,6,+91 96067 06806,5993,2478,3.5,3.035062075
Canton,"No 28/29 9'th Main Road Opposite Ing Vysya Bank, Bengaluru 560011 India",India,560011,Karnataka,Chinese        ,,   ,                       ,Reservations                            ,12.93041,77.58383,"No 28/29 9'th Main Road, Opposite Ing Vysya Bank, 560011",Lunch Dinner    ,8,+91 80 2663 0353,5993,3892,3.5,3.014856339
Azuki Japan Travel Bistro and Sake,"11/1, Alfred Street, Richmond Town, Behind Baldwin Boys High School Back Gate, Bengaluru 560025 India",India,560025,Karnataka,Japanese        ,,   ,                       ,                            ,,,"11/1, Alfred Street, Richmond Town, Behind Baldwin Boys High School Back Gate, 560025",     ,2,+91 80 4121 4342,5993,2211,4,3.041570187
The Runaway Chef,"Rachenhalli Main Road Behind Manyata Tech Park, Bengaluru 560077 India",India,560077,Karnataka,Italian Mexican American Indian     ,"Currently in Manyata Tech Park Area only Closed on Mondays Lunch at work won't be boring anymore. You won't have to order from the same old menus even for dinners & weekends. Flavours from 7 continents, with - Friendly & honest service, every time - 45-minute delivery - 'Get what you see' Our Chef Animi was as hungry as you are...not just for good food, but for unique experiences at his doorstep. So, he set up one himself, for you. Flavours from 7 Continents Unique & fresh Great veg & egg (not just non-veg) Great Customer Service Guarantee Affable and Honest Frills free & affordable fine-dine, (starting at Rs. 200 only) 45-Minute Delivery & Get What You See",   ,                       ,Delivery Takeout Accepts American Express Accepts Mastercard Accepts Visa Digital Payments Cash Only Accepts Credit Cards                     ,13.06233,77.6244,"Rachenhalli Main Road, Behind Manyata Tech Park, 560077",Lunch Dinner    ,4,+91 80887 68888,5993,2833,4,3.027826071
Delicacy,"Chelekere Ring Road, Bengaluru 560059 India",India,560059,Karnataka,Chinese Thai       ,,   ,                       ,                            ,12.92693,77.50141,"Chelekere Ring Road, 560059",     ,7,+91 80 2544 9944,5993,1696,4,3.057691574
Swadista Aahar,"949 16th Main, Bengaluru 560076 India",India,560076,Karnataka,        ,,   ,                       ,                            ,12.91383,77.61011,"949 16th Main, 560076",     ,10,+91 98440 06825,5993,1150,4,3.094438314
Thalappakatt,"MG Road 18, Kids Kemp Building, Bengaluru 560001 India",India,560001,Karnataka,        ,,   ,                       ,                            ,12.9724,77.61853,"MG Road, 18, Kids Kemp Building, 560001",     ,4,+91 80 4377 4001,5993,1682,4.5,3.058362007
Luna Sweets,"2, Hkp Road, Near Russel Market, Shivaji Nagar, Bengaluru 560051 India",India,560051,Karnataka,        ,,   ,                       ,                            ,12.99098,77.6006,"2, Hkp Road, Near Russel Market, Shivaji Nagar, 560051",     ,2,+91 80 6576 0715,5993,2864,4.5,3.027008295
Pecos Pub,"#122 2nd Floor JNC Road Koramangala 5th Block, Bengaluru 560095 India",India,560095,Karnataka,Pub Gastropub       ,"Perched prominently on main JNC Road, Koramangala 5thBlock is Pecos Hideout, a part of the Pecos family. Pecos Hideout brings our legendary experience to the heart of Koramangala’s restaurant ecosystem. As you enter you are enveloped by classic rock, art and posters, and transported into a forgotten era of Peace and Music. A chilled glass of beer completes this picture accompanied by the pub’s signature fare of Ghee Roast, Dry Fry, Kerala Fry and Coorg fry!",   ,                       ,Delivery Reservations Outdoor Seating Private Dining Seating Parking Available Street Parking Valet Parking Free off-street parking Television Highchairs Available Digital Payments Free Wifi Accepts Credit Cards               ,12.934898,77.61611,"#122 2nd Floor JNC Road Koramangala 5th Block, 560095",Breakfast Lunch Dinner Brunch  ,11,+91 97399 55389,5993,1665,3.5,3.059220314
Little Orissa Restaurant,"32, 18th Main, Off 100 Feet Road, Near Domlur Club, Indiranagar, Bengaluru 560038 India",India,560038,Karnataka,        ,,   ,                       ,                            ,12.98234,77.64054,"32, 18th Main, Off 100 Feet Road, Near Domlur Club, Indiranagar, 560038",     ,8,+91 97402 43144,5993,3391,4,3.020597458
Beijing Bites,"Sarjapur Ring Road R M Z Ecospace, Bay Food Counter, Opp Prayhum Maruthi Show Room, Bengaluru 560035 India",India,560035,Karnataka,Chinese Thai       ,,   ,                       ,Reservations                            ,12.91179,77.68205,"Sarjapur Ring Road, R M Z Ecospace, Bay Food Counter, Opp Prayhum Maruthi Show Room, 560035",     ,10,+91 80 4150 4388,5993,1329,4,3.078900576
Dev Sagar,"11/3, Old Market Road, Sajjan Rao Circle, Near Icici Bank Atm, V V Puram, Bengaluru 560001 India",India,560001,Karnataka,        ,,Vegetarian Friendly   ,                       ,                            ,12.98558,77.61004,"11/3, Old Market Road, Sajjan Rao Circle, Near Icici Bank Atm, V V Puram, 560001",     ,8,+91 98862 04745,5993,1752,4,3.05576992
Hyderabad House,"Bellandur Gate No 524 Hyderabad House Sarjapur Road Opposite ALT College And Total Mall, Bengaluru 560035 India",India,560035,Karnataka,Chinese Indian Cafe      ,,   ,                       ,                            ,12.92557,77.67616,"Bellandur Gate No 524 Hyderabad House Sarjapur Road, Opposite ALT College And Total Mall, 560035",     ,5,+91 76764 53842,5993,2975,3.5,3.025492191
Hill View Restaurant,"Mirza Hill Bannerghatta Road, Bengaluru 560083 India",India,560083,Karnataka,Chinese        ,,   ,                       ,                            ,12.85687,77.58523,"Mirza Hill Bannerghatta Road, 560083",     ,8,+91 80 4055 4055,5993,5706,3,2.960723877
Thalappakatti,"18 Kids Camp Building M G Road First floor, Kids Kemp Building., Bengaluru 560001 India",India,560001,Karnataka,Indian        ,,   ,                       ,                            ,12.97292,77.61619,"18 Kids Camp Building M G Road, First floor, Kids Kemp Building., 560001",     ,5,+91 80 4377 4001,5993,1605,4,3.062644005
Ganesh Bhavan,"208/3, Sc Road, Seshadripuram, Bengaluru 560020 India",India,560020,Karnataka,        ,,   ,                       ,                            ,12.98501,77.57471,"208/3, Sc Road, Seshadripuram, 560020",     ,2,+91 80 2346 6396,5993,3749,4,3.016534805
Bageecha,"Marathalli Main Road, Bengaluru 560037 India",India,560037,Karnataka,Indian        ,,   ,                       ,Delivery Takeout Seating Table Service                         ,12.96861,77.5341,"Marathalli Main Road, 560037",Lunch Dinner    ,20,+91 98453 73215,5993,5789,3,2.928806543
Puran Da Dhaba,"93 Richmond Road, Bengaluru 560025 India",India,560025,Karnataka,Indian        ,,Vegetarian Friendly Vegan Options  ,                       ,Reservations Seating Table Service Live Music                         ,12.96635,77.60718,"93 Richmond Road, 560025",Lunch Dinner    ,29,+91 80 4348 4348,5993,688,4,3.172544479
Dindigul Thalappakatti,"1 17th Cross Road HSR Layout, Sector-7, Bengaluru 560102 India",India,560102,Karnataka,Indian        ,,Halal   ,                       ,Takeout Seating Table Service                          ,12.91238,77.63803,"1 17th Cross Road, HSR Layout, Sector-7, 560102",Lunch Dinner    ,25,+91 80674 66725,5993,5827,3,2.912320614
